Correlation of SP -absolutevalue),inter condition
0.858400022605873,CONTROL-UWS
0.86766236124286,CONTROL-UWS
0.773779733033869,CONTROL-UWS
0.768466915834381,CONTROL-UWS
0.819201143715517,CONTROL-UWS
0.856790813085401,CONTROL-UWS
0.832546497911883,CONTROL-UWS
0.881426845374238,CONTROL-UWS
0.848729265025652,CONTROL-UWS
0.859149017271365,CONTROL-UWS
0.573505052960162,CONTROL-UWS
0.398299305029795,CONTROL-UWS
0.511431326394355,CONTROL-UWS
0.860500421026514,CONTROL-UWS
0.852080359908148,CONTROL-UWS
0.78158999753317,CONTROL-UWS
0.718487475139749,CONTROL-UWS
0.854300393084325,CONTROL-UWS
0.831881552090034,CONTROL-UWS
0.864992230488069,CONTROL-UWS
0.816231258846698,CONTROL-UWS
0.863797915639124,CONTROL-UWS
0.895231729611761,CONTROL-UWS
0.590511273486715,CONTROL-UWS
0.401680734360308,CONTROL-UWS
0.515833362288872,CONTROL-UWS
0.861296415674696,CONTROL-UWS
0.909978562096353,CONTROL-UWS
0.838266540738621,CONTROL-UWS
0.735602712050242,CONTROL-UWS
0.902716976312921,CONTROL-UWS
0.867436245877717,CONTROL-UWS
0.911084513438045,CONTROL-UWS
0.816229109848526,CONTROL-UWS
0.891322856448332,CONTROL-UWS
0.908396280465883,CONTROL-UWS
0.697640293443378,CONTROL-UWS
0.393497067343346,CONTROL-UWS
0.601364121692675,CONTROL-UWS
0.838580953248301,CONTROL-UWS
0.814402054142534,CONTROL-UWS
0.699463866273748,CONTROL-UWS
0.774582602976638,CONTROL-UWS
0.741053344788675,CONTROL-UWS
0.831080333753557,CONTROL-UWS
0.762305855232842,CONTROL-UWS
0.936379614883235,CONTROL-UWS
0.802069548827071,CONTROL-UWS
0.767229550086154,CONTROL-UWS
0.505176384774028,CONTROL-UWS
0.36935174044728,CONTROL-UWS
0.447021741187925,CONTROL-UWS
0.781774652421466,CONTROL-UWS
0.783129802008653,CONTROL-UWS
0.662687848544686,CONTROL-UWS
0.645884804378566,CONTROL-UWS
0.804762703936318,CONTROL-UWS
0.691194083730001,CONTROL-UWS
0.747879928988654,CONTROL-UWS
0.717231597600745,CONTROL-UWS
0.74120450874309,CONTROL-UWS
0.785017648416823,CONTROL-UWS
0.515247493770684,CONTROL-UWS
0.361980340801537,CONTROL-UWS
0.381053116904659,CONTROL-UWS
0.896131448595123,CONTROL-UWS
0.918130779113297,CONTROL-UWS
0.87187836089627,CONTROL-UWS
0.75955714192678,CONTROL-UWS
0.890276070155995,CONTROL-UWS
0.887264284357059,CONTROL-UWS
0.900876548846295,CONTROL-UWS
0.776441216342984,CONTROL-UWS
0.898259184865282,CONTROL-UWS
0.93356011027578,CONTROL-UWS
0.683308044248269,CONTROL-UWS
0.427568683043281,CONTROL-UWS
0.694856062891255,CONTROL-UWS
0.87740571798092,CONTROL-UWS
0.891624030753996,CONTROL-UWS
0.845826565086115,CONTROL-UWS
0.748701446170116,CONTROL-UWS
0.909626359856602,CONTROL-UWS
0.864226610997053,CONTROL-UWS
0.89182926921438,CONTROL-UWS
0.797791217900885,CONTROL-UWS
0.888438950523794,CONTROL-UWS
0.912412653995391,CONTROL-UWS
0.647983362348116,CONTROL-UWS
0.42097397592914,CONTROL-UWS
0.593049931672142,CONTROL-UWS
0.899410844086468,CONTROL-UWS
0.918315077049219,CONTROL-UWS
0.847283606392346,CONTROL-UWS
0.718523053886093,CONTROL-UWS
0.897682369274638,CONTROL-UWS
0.917579500417437,CONTROL-UWS
0.942949678707025,CONTROL-UWS
0.868022834976064,CONTROL-UWS
0.943334217355872,CONTROL-UWS
0.933386630520298,CONTROL-UWS
0.678140727675425,CONTROL-UWS
0.471194019507208,CONTROL-UWS
0.677297640352937,CONTROL-UWS
0.877855723129097,CONTROL-UWS
0.884394616102232,CONTROL-UWS
0.828056926838953,CONTROL-UWS
0.713394410213801,CONTROL-UWS
0.913249296734777,CONTROL-UWS
0.836170915747954,CONTROL-UWS
0.884242675563309,CONTROL-UWS
0.748721819748982,CONTROL-UWS
0.869865980635967,CONTROL-UWS
0.900849302801965,CONTROL-UWS
0.639384340664864,CONTROL-UWS
0.407914690969408,CONTROL-UWS
0.578695404860941,CONTROL-UWS
0.893757622836598,CONTROL-UWS
0.866541923124113,CONTROL-UWS
0.790805441260562,CONTROL-UWS
0.782934793859882,CONTROL-UWS
0.82152467294051,CONTROL-UWS
0.869114926351801,CONTROL-UWS
0.836699202742845,CONTROL-UWS
0.873471637568386,CONTROL-UWS
0.856533387398269,CONTROL-UWS
0.859980108968913,CONTROL-UWS
0.556918245505476,CONTROL-UWS
0.373808974491084,CONTROL-UWS
0.524238630023813,CONTROL-UWS
0.886138543007902,CONTROL-UWS
0.868404457962154,CONTROL-UWS
0.803831740151552,CONTROL-UWS
