desviations_matrix_abs,subj,cond
0.103700883041216,CRES1,CONTROL
0.000307949723637957,CRES1,CONTROL
0.105429884122732,CRES1,CONTROL
0.06967894920383,CRES1,CONTROL
0.0300938382644851,CRES1,CONTROL
0.039047041373972,CRES1,CONTROL
0.028408546295933,CRES1,CONTROL
0.085044954924987,CRES1,CONTROL
0.0530635834584491,CRES1,CONTROL
0.039852001135805,CRES1,CONTROL
0.068603901903245,CRES1,CONTROL
0.025644958965324,CRES1,CONTROL
0.16986816861337,CRES1,CONTROL
0.037020791779588,CRES1,CONTROL
0.0812381342923163,CRES1,CONTROL
0.0548986957638,CRES1,CONTROL
0.01781752331744,CRES1,CONTROL
0.0620677005673571,CRES1,CONTROL
0.013981078556123,CRES1,CONTROL
0.042026718582887,CRES1,CONTROL
0.0180300006883549,CRES1,CONTROL
0.0276735559132707,CRES1,CONTROL
0.013700571398185,CRES1,CONTROL
0.00996874904849898,CRES1,CONTROL
0.050230050176038,CRES1,CONTROL
0.011722641470493,CRES1,CONTROL
0.048610264758592,CRES1,CONTROL
0.136373176833935,CRES1,CONTROL
0.044067708137997,CRES1,CONTROL
0.0624104335166861,CRES1,CONTROL
0.041224345348811,CRES1,CONTROL
0.032340420901523,CRES1,CONTROL
0.0650331584262369,CRES1,CONTROL
0.003483348989753,CRES1,CONTROL
0.024589025943013,CRES1,CONTROL
0.0730194284185109,CRES1,CONTROL
0.08362337881353,CRES1,CONTROL
0.138167338332362,CRES1,CONTROL
0.070655271024174,CRES1,CONTROL
0.110033359479126,CRES1,CONTROL
0.017400860611786,CRES1,CONTROL
0.013438879839218,CRES1,CONTROL
0.043697702327731,CRES1,CONTROL
0.0385670011087158,CRES1,CONTROL
0.023174134686976,CRES1,CONTROL
0.0165045037486881,CRES1,CONTROL
0.105997618937691,CRES1,CONTROL
0.0516140197738649,CRES1,CONTROL
0.060927154174985,CRES1,CONTROL
0.064190167669762,CRES1,CONTROL
0.035757955831185,CRES1,CONTROL
0.041882317333756,CRES1,CONTROL
0.067662051636014,CRES1,CONTROL
0.010702253773857,CRES1,CONTROL
0.063764578349339,CRES1,CONTROL
0.034587025540759,CRES2,CONTROL
0.00296326185027601,CRES2,CONTROL
0.055779269277437,CRES2,CONTROL
0.016392596790746,CRES2,CONTROL
0.0258429238766461,CRES2,CONTROL
0.016275237977059,CRES2,CONTROL
0.040212320064962,CRES2,CONTROL
0.029856113010971,CRES2,CONTROL
0.028842068624328,CRES2,CONTROL
0.014104213949206,CRES2,CONTROL
0.045207751424737,CRES2,CONTROL
0.070736265783885,CRES2,CONTROL
0.093679360140528,CRES2,CONTROL
0.067655248449135,CRES2,CONTROL
0.052487476010804,CRES2,CONTROL
0.007573014215427,CRES2,CONTROL
0.00572132141422799,CRES2,CONTROL
0.012481098322358,CRES2,CONTROL
0.039689841077577,CRES2,CONTROL
0.00796121461115901,CRES2,CONTROL
0.0255063747694501,CRES2,CONTROL
0.003377014220119,CRES2,CONTROL
0.00159167828756901,CRES2,CONTROL
0.01654022263319,CRES2,CONTROL
0.039787859905725,CRES2,CONTROL
0.004673342546617,CRES2,CONTROL
0.044896354741676,CRES2,CONTROL
0.0842573627792888,CRES2,CONTROL
0.0064042883535731,CRES2,CONTROL
0.00714331602962498,CRES2,CONTROL
0.048845846207785,CRES2,CONTROL
0.03674724622953,CRES2,CONTROL
0.022590755863838,CRES2,CONTROL
0.036201174020841,CRES2,CONTROL
0.159529376238772,CRES2,CONTROL
0.00716594819656702,CRES2,CONTROL
0.0209035903699959,CRES2,CONTROL
0.029743585823542,CRES2,CONTROL
0.000314692638034964,CRES2,CONTROL
0.115062437479697,CRES2,CONTROL
0.038593871128642,CRES2,CONTROL
0.0379887990107235,CRES2,CONTROL
0.073558217892823,CRES2,CONTROL
0.0439790093667805,CRES2,CONTROL
0.013869449133629,CRES2,CONTROL
0.00057116511437405,CRES2,CONTROL
0.018670067947371,CRES2,CONTROL
0.018432965512602,CRES2,CONTROL
0.0711117090694526,CRES2,CONTROL
0.000425155365585989,CRES2,CONTROL
0.01671627449672,CRES2,CONTROL
0.044945661040301,CRES2,CONTROL
0.066528830226351,CRES2,CONTROL
0.007952473111694,CRES2,CONTROL
0.013342810441373,CRES2,CONTROL
0.118369310157703,CRES3,CONTROL
0.048029985894633,CRES3,CONTROL
0.00150710616123401,CRES3,CONTROL
0.144281161404102,CRES3,CONTROL
0.0525220383851493,CRES3,CONTROL
0.070956244953811,CRES3,CONTROL
0.0355603558835201,CRES3,CONTROL
0.00564381518527701,CRES3,CONTROL
0.084797438519878,CRES3,CONTROL
0.058267542691382,CRES3,CONTROL
0.055512527456722,CRES3,CONTROL
0.022281962689431,CRES3,CONTROL
0.057257241698109,CRES3,CONTROL
0.0301551368805488,CRES3,CONTROL
0.0566579277320222,CRES3,CONTROL
0.053490790156462,CRES3,CONTROL
0.027253083044796,CRES3,CONTROL
0.043908634169997,CRES3,CONTROL
0.01423595189501,CRES3,CONTROL
0.042334847397879,CRES3,CONTROL
0.041183650477127,CRES3,CONTROL
0.0164014214512873,CRES3,CONTROL
0.0438196372595531,CRES3,CONTROL
0.025643725451411,CRES3,CONTROL
0.0166516967433269,CRES3,CONTROL
0.0595791428822449,CRES3,CONTROL
0.067546924935291,CRES3,CONTROL
0.051759546252724,CRES3,CONTROL
0.053639505573973,CRES3,CONTROL
0.040605671421182,CRES3,CONTROL
0.0518934312945586,CRES3,CONTROL
0.027084226533101,CRES3,CONTROL
0.042726060856633,CRES3,CONTROL
0.067448195711589,CRES3,CONTROL
0.046814163537469,CRES3,CONTROL
0.064114670394907,CRES3,CONTROL
0.0259670234906221,CRES3,CONTROL
0.0017821317691109,CRES3,CONTROL
0.064519624066125,CRES3,CONTROL
0.087047661004394,CRES3,CONTROL
0.044221731910747,CRES3,CONTROL
0.109228950839079,CRES3,CONTROL
0.018549952297728,CRES3,CONTROL
0.0297986306276718,CRES3,CONTROL
0.027796173256944,CRES3,CONTROL
0.023002734083749,CRES3,CONTROL
0.0134601504011046,CRES3,CONTROL
0.05409836802367,CRES3,CONTROL
0.092471926352756,CRES3,CONTROL
0.046475384866289,CRES3,CONTROL
0.040760448447349,CRES3,CONTROL
0.122646893075014,CRES3,CONTROL
0.021909630158441,CRES3,CONTROL
0.024999428478307,CRES3,CONTROL
0.071873531841305,CRES3,CONTROL
0.0829486490369924,CRES4,CONTROL
0.023591663504495,CRES4,CONTROL
0.090164398008837,CRES4,CONTROL
0.00576918238415403,CRES4,CONTROL
0.101897415675856,CRES4,CONTROL
0.018681705903201,CRES4,CONTROL
0.0156804286436399,CRES4,CONTROL
0.069633124240791,CRES4,CONTROL
0.00619703988114206,CRES4,CONTROL
0.047304813019159,CRES4,CONTROL
0.073698059491964,CRES4,CONTROL
0.084541619502299,CRES4,CONTROL
0.0982399671365511,CRES4,CONTROL
0.0712544500659,CRES4,CONTROL
0.103240750141248,CRES4,CONTROL
0.067435276947389,CRES4,CONTROL
0.024495382589253,CRES4,CONTROL
0.124621682361413,CRES4,CONTROL
0.00643312451025402,CRES4,CONTROL
0.00927597446580757,CRES4,CONTROL
0.0357981222183831,CRES4,CONTROL
0.010073616805285,CRES4,CONTROL
0.015465860239524,CRES4,CONTROL
0.013762868618948,CRES4,CONTROL
0.041056816233422,CRES4,CONTROL
0.0540829107583711,CRES4,CONTROL
0.0286599407327739,CRES4,CONTROL
0.070131743229979,CRES4,CONTROL
0.011534792082595,CRES4,CONTROL
0.024148213408064,CRES4,CONTROL
0.0166068648674118,CRES4,CONTROL
0.076398717183034,CRES4,CONTROL
0.06639791695556,CRES4,CONTROL
0.045211726005025,CRES4,CONTROL
0.0681546183529888,CRES4,CONTROL
0.0218870597441719,CRES4,CONTROL
0.00178964276631599,CRES4,CONTROL
0.0745150325172897,CRES4,CONTROL
0.0169933548264211,CRES4,CONTROL
0.077535395059889,CRES4,CONTROL
0.010052294645015,CRES4,CONTROL
0.035612885992069,CRES4,CONTROL
0.07286649767881,CRES4,CONTROL
0.048105747548003,CRES4,CONTROL
0.05646922219672,CRES4,CONTROL
0.015657301369352,CRES4,CONTROL
0.0242502566925769,CRES4,CONTROL
0.0249549297288939,CRES4,CONTROL
0.068624448157905,CRES4,CONTROL
0.053805134626749,CRES4,CONTROL
0.035380098679448,CRES4,CONTROL
0.026987007443492,CRES4,CONTROL
0.08173628349796,CRES4,CONTROL
0.0058475135337505,CRES4,CONTROL
0.0902409026853266,CRES4,CONTROL
0.00272343764657601,CRES5,CONTROL
0.02983396565304,CRES5,CONTROL
0.130378124578447,CRES5,CONTROL
0.04469622211658,CRES5,CONTROL
0.01566830500592,CRES5,CONTROL
0.0571173623494901,CRES5,CONTROL
0.12557331402968,CRES5,CONTROL
